id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Lower East Side People Care,25 Rutgers Street,0.046,40.712962,-73.990026,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,M.S. 131,"100 Hester Street  NY, NY 10002",0.018,40.716553,-73.993092,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Miracle Garden - Manhattan,194-196 East 3rd Street,0.12,40.722917,-73.983563,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Open Road Park (LES),404-16 East 12th Street,0.459,40.729801,-73.983057,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Orchard Alley,350-54 East 4th Street,0.224,40.721472,-73.978275,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,P.S. 361 - The Children's Garden,East 12th Street,0.028,NA,NA,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Parque De Tranquilidad,314-318 East 4th Street,0.082,40.722038,-73.97961,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Peachtree Garden,236-238 East 2nd Street,0.12,40.72149,-73.98216,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Relaxation Garden (Suen Dragon Garden),209 Avenue B,0.063,40.72859,-73.978637,10921482.321637427,10924907.415204678,NA
103,M03,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,M,Sam & Sadie Koenig Garden,237 E. 7th Street,0.04,40.723877,-73.97835,10921482.321637427,10924907.415204678,NA
